#pixelIndex	x	y	bupId	age	sex	instigator
270	70	2	8915	25	1	0
271	71	2	2469	25	1	0
272	72	2	2651	25	1	0
273	73	2	3259	25	1	0
274	74	2	15602	25	1	0
275	75	2	4471	25	1	0
276	76	2	9977	25	1	0
277	77	2	4470	25	1	0
278	78	2	4472	25	1	0
279	79	2	17423	25	1	0
280	80	2	2743	25	1	0
281	81	2	13133	25	1	0
282	82	2	3467	25	1	0
283	83	2	2841	25	1	0
284	84	2	4067	25	1	0
285	85	2	13327	25	1	0
286	86	2	2713	26	0	2
287	87	2	2363	26	0	2
288	88	2	10418	26	0	2
289	89	2	5910	25	0	2
290	90	2	5863	25	0	2
291	91	2	4956	26	0	1
292	92	2	4358	26	0	1
293	93	2	2409	25	0	1
294	94	2	4950	25	0	1
295	95	2	10764	25	0	1
296	96	2	5007	25	0	0
297	97	2	12490	25	0	0
298	98	2	5616	25	0	0
299	99	2	4616	25	0	1
300	0	3	9242	24	2	3
301	1	3	4888	25	2	2
302	2	3	3464	24	2	2
303	3	3	3100	24	2	2
304	4	3	172	24	2	2
305	5	3	3487	24	2	2
306	6	3	16235	24	2	2
307	7	3	3350	24	2	2
308	8	3	17762	24	2	2
309	9	3	4072	24	2	2
310	10	3	5883	24	2	1
311	11	3	2767	24	2	1
312	12	3	17524	24	2	1
313	13	3	2542	24	2	1
314	14	3	3092	24	2	0
315	15	3	3000	24	2	0
316	16	3	9689	24	2	0
317	17	3	3661	24	2	0
318	18	3	10077	24	2	0
319	19	3	4974	24	2	0
320	20	3	6505	24	2	0
321	21	3	15449	24	2	0
322	22	3	12547	24	1	3
323	23	3	11255	24	1	3
324	24	3	5070	23	1	3
325	25	3	4731	24	1	2
326	26	3	7707	24	1	2
327	27	3	3159	24	1	2
328	28	3	204	24	1	2
329	29	3	2534	24	1	2
330	30	3	215	24	1	2
331	31	3	3532	24	1	2
332	32	3	3533	24	1	2
333	33	3	549	24	1	2
334	34	3	550	24	1	2
335	35	3	4804	24	1	2
336	36	3	5430	24	1	2
337	37	3	18101	24	1	2
338	38	3	5431	24	1	2
339	39	3	6883	24	1	2
340	40	3	10124	24	1	2
341	41	3	5589	24	1	2
342	42	3	3444	24	1	2
343	43	3	2777	24	1	2
344	44	3	780	24	1	2
345	45	3	13300	24	1	2
346	46	3	3160	24	1	2
347	47	3	5645	24	1	2
348	48	3	153	30	1	2
349	49	3	2814	24	1	1
350	50	3	12745	24	1	1
351	51	3	8805	24	1	1
352	52	3	5750	24	1	1
353	53	3	5067	24	1	1
354	54	3	4630	24	1	1
355	55	3	4631	24	1	1
356	56	3	4465	24	1	1
357	57	3	3162	24	1	1
358	58	3	4437	24	1	1
359	59	3	5348	24	1	1
360	60	3	14690	24	1	1
361	61	3	3727	24	1	1
362	62	3	2791	24	1	1
363	63	3	15405	24	1	1
364	64	3	9014	24	1	1
365	65	3	5951	24	1	1
366	66	3	15750	24	1	1
367	67	3	5587	25	1	0
368	68	3	5588	25	1	0
369	69	3	4927	25	1	0
370	70	3	11254	24	1	0
371	71	3	15963	24	1	0
372	72	3	3625	24	1	0
373	73	3	7234	24	1	0
374	74	3	4421	24	1	0
375	75	3	14923	24	1	0
376	76	3	9015	24	1	0
377	77	3	5041	24	1	0
378	78	3	9244	24	1	0
379	79	3	18324	24	1	0
380	80	3	6263	24	1	0
381	81	3	1952	24	1	0
382	82	3	17734	24	1	0
383	83	3	2610	24	0	2
384	84	3	5361	24	0	2
385	85	3	4560	24	0	2
386	86	3	5801	24	0	2
387	87	3	4120	24	0	2
388	88	3	4235	24	0	2
389	89	3	5864	24	0	1
390	90	3	2318	24	0	1
391	91	3	869	24	0	1
392	92	3	3012	24	0	0
393	93	3	3231	24	0	0
394	94	3	5018	24	0	0
395	95	3	11619	24	0	0
396	96	3	5822	24	0	0
397	97	3	4942	24	0	0
398	98	3	4852	24	0	0
399	99	3	2597	24	0	0
400	0	4	260	23	2	2
401	1	4	3349	23	2	2
402	2	4	16932	23	2	2
403	3	4	661	23	2	2
404	4	4	3613	23	2	2
405	5	4	363	23	2	2
406	6	4	166	23	2	2
407	7	4	8837	23	2	1
408	8	4	5625	23	2	1
409	9	4	3354	23	2	1
410	10	4	2385	23	2	1
411	11	4	4791	23	2	1
412	12	4	11760	23	2	1
413	13	4	5811	23	2	0
414	14	4	4999	23	2	0
415	15	4	5482	23	2	0
416	16	4	7454	23	2	0
417	17	4	4016	23	2	0
418	18	4	19634	23	2	0
419	19	4	5761	23	2	0
420	20	4	8575	23	2	0
421	21	4	13573	23	1	3
422	22	4	3938	23	1	3
423	23	4	3311	23	1	2
424	24	4	3515	23	1	2
425	25	4	2348	23	1	2
426	26	4	4275	23	1	2
427	27	4	258	23	1	2
428	28	4	3752	23	1	2
429	29	4	4494	23	1	2
430	30	4	5904	23	1	2
431	31	4	2775	23	1	2
432	32	4	109	23	1	2
433	33	4	3598	23	1	2
434	34	4	3962	23	1	2
435	35	4	4023	23	1	2
436	36	4	2776	23	1	2
437	37	4	4790	23	1	2
438	38	4	4761	23	1	2
439	39	4	15624	23	1	2
440	40	4	4423	23	1	2
441	41	4	4352	23	1	2
442	42	4	187	23	1	2
443	43	4	4527	23	1	2
444	44	4	2960	23	1	2
445	45	4	3753	23	1	2
446	46	4	210	23	1	2
447	47	4	14056	23	1	2
448	48	4	19193	23	1	2
449	49	4	7852	23	1	2
450	50	4	3720	23	1	1
451	51	4	5045	23	1	1
452	52	4	4198	23	1	1
453	53	4	3917	23	1	1
454	54	4	3210	23	1	1
